[INFO:2023-05-03 08:58:44,879] **FILLING BUFFER** | Episode: 100 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.485
[INFO:2023-05-03 08:58:45,094] **FILLING BUFFER** | Episode: 101 | Timesteps Played: 169 | Mean Loss: 0.000 | Mean Reward: 0.533
[INFO:2023-05-03 08:58:45,299] **FILLING BUFFER** | Episode: 102 | Timesteps Played: 147 | Mean Loss: 0.000 | Mean Reward: 0.476
[INFO:2023-05-03 08:58:45,552] **FILLING BUFFER** | Episode: 103 | Timesteps Played: 191 | Mean Loss: 0.000 | Mean Reward: 0.524
[INFO:2023-05-03 08:58:45,782] **FILLING BUFFER** | Episode: 104 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.734
[INFO:2023-05-03 08:58:45,992] **FILLING BUFFER** | Episode: 105 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.424
[INFO:2023-05-03 08:58:46,208] **FILLING BUFFER** | Episode: 106 | Timesteps Played: 171 | Mean Loss: 0.000 | Mean Reward: 0.351
[INFO:2023-05-03 08:58:46,419] **FILLING BUFFER** | Episode: 107 | Timesteps Played: 167 | Mean Loss: 0.000 | Mean Reward: 0.419
[INFO:2023-05-03 08:58:46,649] **FILLING BUFFER** | Episode: 108 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.546
[INFO:2023-05-03 08:58:46,898] **FILLING BUFFER** | Episode: 109 | Timesteps Played: 195 | Mean Loss: 0.000 | Mean Reward: 0.564
[INFO:2023-05-03 08:58:47,118] **FILLING BUFFER** | Episode: 110 | Timesteps Played: 177 | Mean Loss: 0.000 | Mean Reward: 0.395
[INFO:2023-05-03 08:58:47,376] **FILLING BUFFER** | Episode: 111 | Timesteps Played: 201 | Mean Loss: 0.000 | Mean Reward: 0.498
[INFO:2023-05-03 08:58:47,586] **FILLING BUFFER** | Episode: 112 | Timesteps Played: 165 | Mean Loss: 0.000 | Mean Reward: 0.545
[INFO:2023-05-03 08:58:47,795] **FILLING BUFFER** | Episode: 113 | Timesteps Played: 183 | Mean Loss: 0.000 | Mean Reward: 0.492
